table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,pdl_mdzyrzcz_pdlsk,1753,400,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1754,600,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1755,200,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1760,800,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1761,600,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1762,600,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pdl_mdzyrzcz_pdlsk,1764,600,600,0,0,miedzyrzecz_podlaski,pdl,miedzyrzecz_podlaski,mdzyrzczpdlsk,ext,,|,2536420.13256192|6797290.30143852
0100,pzn_pznn,1717,3322,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1718,3322,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1721,2067,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1722,2068,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1723,2536,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1727,1760,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1739,2358,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1743,3340,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1745,3100,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1747,4292,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1748,3110,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1749,3064,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1751,4616,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1753,3118,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1754,2720,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1755,3528,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1756,3623,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1758,3485,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1760,3521,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,pzn_pznn,1761,3417,3417,0,0,poznan,pzn,poznan,pznn,ext,,|,1885272.47259427|6874565.89600669
0100,maz_wysk_mzwck,1729,100,280,179,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,maz_wysk_mzwck,1733,110,280,108,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
0100,maz_wysk_mzwck,1734,160,280,83,0,wysokie_mazowieckie,maz,ciechanowiec,cchnwc,ext,,|,2503027.57394815|6968722.27383248
