table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
1202,hlc_jnw,1300,rus,rs,Rus,rus_halicz,500,,0.7944444444444,""
1202,hlc_kklnk,263,rus,rs,Rus,rus_halicz,40,,,""
1202,hlc_klsz,264,rus,rs,Rus,rus_halicz,2800,24.3748590363421,49.0139183035606,""
1202,hlc_kmnk,265,rus,rs,Rus,rus_halicz,150,,,""
1202,hlc_kpyczync,266,rus,rs,Rus,rus_halicz,1000,25.9166666666667,49.1,""
1202,hlc_klmyj,268,rus,rs,Rus,rus_halicz,1850,25.0412777077861,48.5351097772064,""
1202,hlc_ksw,270,rus,rs,Rus,rus_halicz,1650,25.0984845776194,48.3253174774479,""
1202,hlc_klczkwc,271,rus,rs,Rus,rus_halicz,200,25.3083461746369,48.5569863674305,""
1202,hlc_mrtynw,272,rus,rs,Rus,rus_halicz,150,24.5636766381681,49.2188789147777,""
1202,hlc_kty,273,rus,rs,Rus,rus_halicz,900,25.1833333333333,48.2666666666667,""
1202,hlc_mrympl,274,rus,rs,Rus,rus_halicz,0,24.85,49.0333333333333,""
1202,hlc_mklnc,276,rus,rs,Rus,rus_halicz,800,25.6211920366437,49.3866642018069,""
1202,hlc_mnstrzysk,277,rus,rs,Rus,rus_halicz,1700,25.1801270737996,49.097857454165,""
1202,hlc_ndwrn,278,rus,rs,Rus,rus_halicz,2400,24.5705987477066,48.6306782965941,""
1202,hlc_brtyn,280,rus,rs,Rus,rus_halicz,100,25.1718977664166,48.7001401656673,""
1202,hlc_pstyn,282,rus,rs,Rus,rus_halicz,375,,,""
1202,hlc_pdhjc,283,rus,rs,Rus,rus_halicz,3500,25.127734045462,49.2678300974148,""
1202,hlc_pdkmn,284,rus,rs,Rus,rus_halicz,180,25.3189246883268,49.9428889324104,""
1202,hlc_ptk,285,rus,rs,Rus,rus_halicz,200,25.3428,48.9089,Zolotyy Potik
1202,hlc_rhtyn,286,rus,rs,Rus,rus_halicz,2000,24.6324716095947,49.4066408771173,""
1202,hlc_sklt,287,rus,rs,Rus,rus_halicz,700,25.9685877987634,49.4341351417527,""
1202,hlc_sntyn,288,rus,rs,Rus,rus_halicz,0,25.5666666666667,48.45,""
1202,hlc_sltwn,289,rus,rs,Rus,rus_halicz,900,24.4365220360386,48.6983706605418,""
1202,hlc_stnslww,290,rus,rs,Rus,rus_halicz,200,24.7029830495295,48.9125403005606,""
1202,hlc_strsw,292,rus,rs,Rus,rus_halicz,100,25.6224067068419,49.3494786316431,""
1202,hlc_stpczt,293,rus,rs,Rus,rus_halicz,892,24.9630461143333,48.4075681023789,""
1202,hlc_schstw,294,rus,rs,Rus,rus_halicz,300,25.8590199101616,49.1611708042141,""
1202,hlc_trnpl,295,rus,rs,Rus,rus_halicz,4200,25.5912056931086,49.5592747346345,""
1202,hlc_ttls,,rus,rs,Rus,rus_halicz,47006,,,""
1202,hlc_twst,296,rus,rs,Rus,rus_halicz,600,25.7333333333333,48.85,""
1202,hlc_tysmnc,297,rus,rs,Rus,rus_halicz,1300,24.85,48.9,""
